id,title,type,strandId,locationIds,placeId,artistIds,year,summary,blurb,body,mediaCaption,bookingStatus,bookingUrl,imageUrl,ageGuidance,mode,dateStart,dateEnd,confirmed
ev-exhibition,Resonate,Exhibition,resonate,main,,,,"New commissions from Resonate, Play Office's artist development programme, shown continuously throughout Memory Library.",Resonate artist commissions.,,,FREE,,,,ongoing,2026-11-13,2026-11-21,TRUE
ev-film-programme,Film Programme,Screening,memory-library,cinema,,,,"A continuous programme of moving-image work, showing throughout the day in the Cinema.",Moving-image screenings.,,,FREE,,,,ongoing,2026-11-13,2026-11-21,TRUE
ev-queer-at-sea,Queer at Sea,Exhibition,resonate,main,,,,"An exhibition exploring queerness, coastal space and belonging, shown throughout the daily programme.",Exhibition on queerness and coastal life.,,,FREE,,,,ongoing,2026-11-13,2026-11-21,FALSE
ev-past-makes-future,Past Makes Future,Special Event,past-makes-future,main,,,,"A one-day conference and gathering bringing together international delegates, artists and heritage partners.",Conference and international presentations.,,,BOOKING REQUIRED,,,,timed,,,TRUE
ev-bangladesh-presentation,Bangladesh — Artist Presentation,Talk,past-makes-future,main,,,,"A presentation from Zihan Karim and Shohrab Jahan, part of Past Makes Future.",Artist presentation.,,,BOOKING REQUIRED,,,,timed,,,TRUE
ev-cairo-presentation,Cairo — Artist Presentation,Talk,past-makes-future,main,,,,"A presentation from Raneem Elhaddad and Ahmed Nader, part of Past Makes Future.",Artist presentation.,,,BOOKING REQUIRED,,,,timed,,,TRUE
ev-engine-creativity,Portsmouth as an Engine for Creativity,Talk,past-makes-future,main,,,,"A panel with Gemma Nichols, Steve Pitt, Arts Council England and University of Portsmouth, on sector value and infrastructure.",Panel discussion.,,,BOOKING REQUIRED,,,,timed,,,TRUE
ev-pageant,Pageant,Performance,past-makes-future,main,,,,"An evening performance closing Past Makes Future. Doors 19:30, performance from 20:00.",Evening performance.,,,BOOKING REQUIRED,,,18+,timed,,,TRUE
ev-people-library,People Library,Participatory,people-library,main,,,,"People, not books, as a browsable living collection. Drop in and borrow a person for twenty minutes.","Borrow a person, not a book.",,,DROP IN,,,,timed,,,TRUE
ev-bangladesh-workshop,Bangladesh Workshop,Workshop,past-makes-future,main,,,,"A workshop connected to Bangladesh, part of Memory Library's international exchange.",Workshop connected to Bangladesh.,,,BOOKING REQUIRED,,,,timed,,,TRUE
ev-bangladesh-screening,Bangladesh Screening,Screening,past-makes-future,cinema,,,,"A screening connected to Bangladesh, part of Memory Library's international exchange.",Screening connected to Bangladesh.,,,FREE,,,,timed,,,TRUE
ev-egypt-workshop,Egypt Workshop,Workshop,we-shine,main,,,,"A workshop connected to Egypt, part of Memory Library's international exchange.",Workshop connected to Egypt.,,,BOOKING REQUIRED,,,,timed,,,TRUE
ev-lebanon-workshop,Lebanon Workshop,Workshop,we-shine,main,,,,"A workshop connected to Lebanon, part of Memory Library's international exchange.",Workshop connected to Lebanon.,,,BOOKING REQUIRED,,,,timed,,,TRUE
ev-we-shine-lates,We Shine,Special Event,we-shine,"main, cinema, exterior",,,,"Boathouse 5 stays open into the evening as part of We Shine, with the exhibition continuing and the exterior projection running after dark.",Evening opening for We Shine.,,,FREE,,,,timed,,,FALSE
